POSTE;DATE;RR;TN;TX;FXI
59606004;2026020112;0.0;7.5;7.5;8.6
59606004;2026020113;0.0;7.7;7.7;9.4
59606004;2026020114;0.0;7.9;7.9;10.0
59606004;2026020115;0.0;8.0;8.0;8.6
59606004;2026020116;0.0;8.1;8.1;8.6
59606004;2026020117;0.0;7.6;7.6;7.2
59606004;2026020118;0.0;7.5;7.5;6.1
59606004;2026020119;0.0;7.6;7.6;5.8
59606004;2026020120;0.1;7.5;7.5;5.8
59606004;2026020121;0.0;7.6;7.6;6.7
59606004;2026020122;0.3;7.4;7.4;7.2
59606004;2026020123;0.1;7.3;7.3;6.4
59606004;2026020200;0.2;7.3;7.3;6.4
59606004;2026020201;0.0;7.1;7.1;5.3
59606004;2026020202;0.0;6.7;6.7;3.9
59606004;2026020203;0.0;4.9;4.9;3.3
59606004;2026020204;0.0;6.2;6.2;3.9
59606004;2026020205;0.0;6.0;6.0;3.3
59606004;2026020206;0.0;6.5;6.5;4.4
59606004;2026020207;0.0;5.8;5.8;4.2
59606004;2026020208;0.0;5.9;5.9;3.6
59606004;2026020209;0.0;6.0;6.0;2.8
59606004;2026020210;0.0;6.4;6.4;2.5
59606004;2026020211;0.0;7.0;7.0;3.1
59606004;2026020212;0.0;7.8;7.8;6.1
59606004;2026020213;0.0;7.2;7.2;6.7
59606004;2026020214;0.0;7.6;7.6;6.1
59606004;2026020215;0.0;8.2;8.2;7.5
59606004;2026020216;0.0;8.2;8.2;6.9
59606004;2026020217;0.0;7.9;7.9;6.4
59606004;2026020218;0.0;5.3;5.3;6.1
59606004;2026020219;0.0;5.2;5.2;5.3
59606004;2026020220;0.0;5.4;5.4;7.5
59606004;2026020221;0.0;5.0;5.0;7.8
59606004;2026020222;0.0;4.7;4.7;7.5
59606004;2026020223;0.0;4.7;4.7;8.3
59606004;2026020300;0.0;4.7;4.7;8.9
59606004;2026020301;0.0;4.3;4.3;8.9
59606004;2026020302;0.0;4.0;4.0;9.7
59606004;2026020303;0.0;3.8;3.8;9.2
59606004;2026020304;0.0;3.8;3.8;8.6
59606004;2026020305;0.0;3.8;3.8;8.9
59606004;2026020306;0.0;3.7;3.7;8.6
59606004;2026020307;0.2;3.6;3.6;8.1
59606004;2026020308;0.0;3.8;3.8;8.3
59606004;2026020309;0.1;4.2;4.2;6.4
59606004;2026020310;1.1;4.4;4.4;6.1
59606004;2026020311;0.8;5.7;5.7;6.1
59606004;2026020312;0.0;8.5;8.5;9.7
59606004;2026020313;0.0;7.9;7.9;12.5
59606004;2026020314;0.0;7.2;7.2;10.8
59606004;2026020315;0.5;7.4;7.4;7.8
59606004;2026020316;0.0;8.3;8.3;9.4
59606004;2026020317;0.0;8.7;8.7;10.3
59606004;2026020318;0.1;8.5;8.5;10.6
59606004;2026020319;0.4;8.5;8.5;7.8
59606004;2026020320;0.1;8.7;8.7;9.4
59606004;2026020321;0.0;8.4;8.4;10.3
59606004;2026020322;0.0;8.3;8.3;9.2
59606004;2026020323;0.0;7.9;7.9;7.5
59606004;2026020400;0.0;7.1;7.1;6.4
59606004;2026020401;0.0;6.5;6.5;5.8
59606004;2026020402;0.0;6.7;6.7;5.8
59606004;2026020403;0.0;6.9;6.9;6.7
59606004;2026020404;0.0;6.6;6.6;7.2
59606004;2026020405;0.0;5.8;5.8;5.8
59606004;2026020406;0.0;4.9;4.9;6.1
59606004;2026020407;0.0;4.0;4.0;6.1
59606004;2026020408;0.0;3.2;3.2;5.6
59606004;2026020409;0.0;4.4;4.4;5.0
59606004;2026020410;0.0;6.8;6.8;5.8
59606004;2026020411;0.0;8.2;8.2;6.9
59606004;2026020412;0.0;9.9;9.9;7.8
59606004;2026020413;0.0;10.2;10.2;8.9
59606004;2026020414;0.0;10.9;10.9;9.7
59606004;2026020415;0.0;11.0;11.0;8.9
59606004;2026020416;0.0;10.8;10.8;6.7
59606004;2026020417;0.0;10.5;10.5;8.9
59606004;2026020418;0.0;9.7;9.7;9.2
59606004;2026020419;0.0;8.7;8.7;9.2
59606004;2026020420;0.0;7.5;7.5;8.3
59606004;2026020421;0.0;6.5;6.5;6.1
59606004;2026020422;0.0;4.9;4.9;5.3
59606004;2026020423;0.0;5.2;5.2;4.4
59606004;2026020500;0.0;5.3;5.3;4.7
59606004;2026020501;0.0;5.3;5.3;7.2
59606004;2026020502;0.0;5.4;5.4;8.3
59606004;2026020503;0.0;5.6;5.6;7.5
59606004;2026020504;0.0;5.8;5.8;7.2
59606004;2026020505;0.0;6.0;6.0;9.2
59606004;2026020506;0.0;5.8;5.8;8.9
59606004;2026020507;0.0;5.4;5.4;10.6
59606004;2026020508;0.0;5.3;5.3;9.2
59606004;2026020509;0.0;5.5;5.5;10.3
59606004;2026020510;0.0;5.6;5.6;9.2
59606004;2026020511;0.0;7.1;7.1;9.4
59606004;2026020512;0.0;7.6;7.6;10.3
59606004;2026020513;0.0;8.0;8.0;11.9
59606004;2026020514;0.0;8.5;8.5;10.0
59606004;2026020515;0.0;8.4;8.4;8.9
59606004;2026020516;0.4;8.5;8.5;7.8
59606004;2026020517;0.0;8.6;8.6;8.6
59606004;2026020518;0.0;8.3;8.3;6.9
59606004;2026020519;0.0;7.7;7.7;5.0
59606004;2026020520;0.0;7.9;7.9;4.4
59606004;2026020521;0.0;8.1;8.1;5.3
59606004;2026020522;0.0;7.8;7.8;4.7
59606004;2026020523;0.0;7.9;7.9;4.4
59606004;2026020600;0.0;7.9;7.9;4.4
59606004;2026020601;0.3;7.6;7.6;3.9
59606004;2026020602;0.3;7.5;7.5;5.0
59606004;2026020603;0.0;7.1;7.1;6.1
59606004;2026020604;0.0;6.5;6.5;6.1
59606004;2026020605;0.0;7.4;7.4;8.9
59606004;2026020606;0.1;7.6;7.6;7.8
59606004;2026020607;0.2;7.7;7.7;7.8
